instance_name,iteration,current_cost,best_cost,num_routes,total_demand,avg_route_len,feasibility_penalty,perc_unserved_nodes,destroy_op_name,repair_op_name,destroy_op_idx,repair_op_idx,ruin_frac,cost_delta,is_improvement,is_new_best
C1_2_1,0,3332.930875536569,3332.930875536569,20,3530,9.9999999995,271.7755411593803,0.0,_destroy_worst,_repair_best_insertion,1,0,0.125,-271.7755411593803,1,1
C1_2_1,1,3061.155334377189,3061.155334377189,20,3530,9.9999999995,59.51602935972187,0.0,_destroy_random,_repair_regret2,0,1,0.195,-59.51602935972187,1,1
C1_2_1,2,3001.639305017467,3001.639305017467,20,3530,9.9999999995,0.0,0.0,_destroy_random,_repair_best_insertion,0,0,0.135,74.96221743653587,0,0
C1_2_1,3,3001.639305017467,3001.639305017467,20,3530,9.9999999995,0.0,0.0,_destroy_worst,_repair_best_insertion,1,0,0.09,46.314705736220276,0,0
C1_2_1,4,3001.639305017467,3001.639305017467,20,3530,9.9999999995,0.0,0.0,_destroy_cluster,_repair_regret2,2,1,0.22,25.327985782942505,0,0
C1_2_1,5,3001.639305017467,3001.639305017467,20,3530,9.9999999995,0.0,0.0,_destroy_worst,_repair_best_insertion,1,0,0.14,0.1517359298768497,0,0
C1_2_1,6,3001.639305017467,3001.639305017467,20,3530,9.9999999995,0.0,0.0,_destroy_cluster,_repair_best_insertion,2,0,0.14,315.2789786563849,0,0
C1_2_1,7,3001.639305017467,3001.639305017467,20,3530,9.9999999995,12.925700955898265,0.0,_destroy_random,_repair_regret2,0,1,0.23,-12.925700955898265,1,1
C1_2_1,8,2988.7136040615687,2988.7136040615687,20,3530,9.9999999995,0.0,0.0,_destroy_worst,_repair_best_insertion,1,0,0.15,13.077436885775114,0,0
C1_2_1,9,2988.7136040615687,2988.7136040615687,20,3530,9.9999999995,0.0,0.0,_destroy_worst,_repair_regret2,1,1,0.175,72.31651974339457,0,0
C1_2_1,10,2988.7136040615687,2988.7136040615687,20,3530,9.9999999995,5.354203606582814,0.0,_destroy_cluster,_repair_regret2,2,1,0.14,-5.354203606582814,1,1
